sku,_attribute_set,_type,_category,_product_websites,color,created_at,size,description,has_options,name,options_container,price,required_options,short_description,status,tax_class_id,updated_at,url_key,url_path,visibility,weight,qty,use_config_min_qty,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,use_config_enable_qty_inc,_super_products_sku,_super_attribute_code,_super_attribute_option,image,small_image,thumbnail,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
79001-5-M,Default,simple,,base,"BOOTLE GREEN",,M,"Delicate, short dress with straps.",1,"DORIANE DRESS BOOTLE GREEN 79001-5 - M",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-5-L,Default,simple,,base,"BOOTLE GREEN",,L,"Delicate, short dress with straps.",1,"DORIANE DRESS BOOTLE GREEN 79001-5 - L",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-5,Default,configurable,,base,"BOOTLE GREEN",,,"Delicate, short dress with straps.",1,"DORIANE DRESS BOOTLE GREEN 79001-5",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,79001-5-S,size,S,2612f89b4933423f8c092ea9b86c1c6c.jpg,2612f89b4933423f8c092ea9b86c1c6c.jpg,2612f89b4933423f8c092ea9b86c1c6c.jpg,88,2612f89b4933423f8c092ea9b86c1c6c.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-5-M,size,M,56852996231d3d5034200eb25b1e08cf.jpg,56852996231d3d5034200eb25b1e08cf.jpg,56852996231d3d5034200eb25b1e08cf.jpg,56852996231d3d5034200eb25b1e08cf.jpg,88,56852996231d3d5034200eb25b1e08cf.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-5-L,size,L,,,,,,,,
79001-4-S,Default,simple,,base,"GOLD ",,S,"Delicate, short dress with straps.",1,"DORIANE DRESS GOLD 79001-4 - S",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-4-M,Default,simple,,base,"GOLD ",,M,"Delicate, short dress with straps.",1,"DORIANE DRESS GOLD 79001-4 - M",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-4-L,Default,simple,,base,"GOLD ",,L,"Delicate, short dress with straps.",1,"DORIANE DRESS GOLD 79001-4 - L",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-4,Default,configurable,,base,"GOLD ",,,"Delicate, short dress with straps.",1,"DORIANE DRESS GOLD 79001-4",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,79001-4-S,size,S,271fa92414c2fe553ef729bc4115be03.jpg,271fa92414c2fe553ef729bc4115be03.jpg,271fa92414c2fe553ef729bc4115be03.jpg,88,271fa92414c2fe553ef729bc4115be03.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-4-M,size,M,c0e2331aef94e66ad48bc30784992a66.jpg,c0e2331aef94e66ad48bc30784992a66.jpg,c0e2331aef94e66ad48bc30784992a66.jpg,c0e2331aef94e66ad48bc30784992a66.jpg,88,c0e2331aef94e66ad48bc30784992a66.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-4-L,size,L,4b1d05481c13dbab83a2d32af53f4926.jpg,4b1d05481c13dbab83a2d32af53f4926.jpg,4b1d05481c13dbab83a2d32af53f4926.jpg,4b1d05481c13dbab83a2d32af53f4926.jpg,88,4b1d05481c13dbab83a2d32af53f4926.jpg,,1,0
79001-3-S,Default,simple,,base,BURGUNDY,,S,"Delicate, short dress with straps.",1,"DORIANE DRESS BURGUNDY 79001-3 - S",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-3-M,Default,simple,,base,BURGUNDY,,M,"Delicate, short dress with straps.",1,"DORIANE DRESS BURGUNDY 79001-3 - M",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-3-L,Default,simple,,base,BURGUNDY,,L,"Delicate, short dress with straps.",1,"DORIANE DRESS BURGUNDY 79001-3 - L",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-3,Default,configurable,,base,BURGUNDY,,,"Delicate, short dress with straps.",1,"DORIANE DRESS BURGUNDY 79001-3",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,79001-3-S,size,S,876775fbe8b756d80b061114c206468d.jpg,876775fbe8b756d80b061114c206468d.jpg,876775fbe8b756d80b061114c206468d.jpg,88,876775fbe8b756d80b061114c206468d.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-3-M,size,M,87a5fa15e6fee31ab308cb75a0568040.jpg,87a5fa15e6fee31ab308cb75a0568040.jpg,87a5fa15e6fee31ab308cb75a0568040.jpg,87a5fa15e6fee31ab308cb75a0568040.jpg,88,87a5fa15e6fee31ab308cb75a0568040.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-3-L,size,L,d1be482c5cc940597f6084c45b60f48c.jpg,d1be482c5cc940597f6084c45b60f48c.jpg,d1be482c5cc940597f6084c45b60f48c.jpg,d1be482c5cc940597f6084c45b60f48c.jpg,88,d1be482c5cc940597f6084c45b60f48c.jpg,,1,0
79001-2-S,Default,simple,,base,RED,,S,"Delicate, short dress with straps.",1,"DORIANE DRESS RED 79001-2 - S",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-2-M,Default,simple,,base,RED,,M,"Delicate, short dress with straps.",1,"DORIANE DRESS RED 79001-2 - M",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-2-L,Default,simple,,base,RED,,L,"Delicate, short dress with straps.",1,"DORIANE DRESS RED 79001-2 - L",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-2,Default,configurable,,base,RED,,,"Delicate, short dress with straps.",1,"DORIANE DRESS RED 79001-2",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,79001-2-S,size,S,68bad9c9a30d15e134bd3b375e6b857e.jpg,68bad9c9a30d15e134bd3b375e6b857e.jpg,68bad9c9a30d15e134bd3b375e6b857e.jpg,88,68bad9c9a30d15e134bd3b375e6b857e.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-2-M,size,M,f0e9c7887ade6883260d0e336c89061d.jpg,f0e9c7887ade6883260d0e336c89061d.jpg,f0e9c7887ade6883260d0e336c89061d.jpg,f0e9c7887ade6883260d0e336c89061d.jpg,88,f0e9c7887ade6883260d0e336c89061d.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-2-L,size,L,,,,,,,,
79001-1-S,Default,simple,,base,PINK,,S,"Delicate, short dress with straps.",1,"DORIANE DRESS PINK 79001-1 - S",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-1-M,Default,simple,,base,PINK,,M,"Delicate, short dress with straps.",1,"DORIANE DRESS PINK 79001-1 - M",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-1-L,Default,simple,,base,PINK,,L,"Delicate, short dress with straps.",1,"DORIANE DRESS PINK 79001-1 - L",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
79001-1,Default,configurable,,base,PINK,,,"Delicate, short dress with straps.",1,"DORIANE DRESS PINK 79001-1",,129.00,,"Delicate, short dress with straps.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,79001-1-S,size,S,29ce97ec2b96304b1aa3fb2723c3b7a0.jpg,29ce97ec2b96304b1aa3fb2723c3b7a0.jpg,29ce97ec2b96304b1aa3fb2723c3b7a0.jpg,88,29ce97ec2b96304b1aa3fb2723c3b7a0.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-1-M,size,M,52d2758892630c58258481239bd65972.jpg,52d2758892630c58258481239bd65972.jpg,52d2758892630c58258481239bd65972.jpg,52d2758892630c58258481239bd65972.jpg,88,52d2758892630c58258481239bd65972.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79001-1-L,size,L,2056478c522a6381022230d471674af5.jpg,2056478c522a6381022230d471674af5.jpg,2056478c522a6381022230d471674af5.jpg,2056478c522a6381022230d471674af5.jpg,88,2056478c522a6381022230d471674af5.jpg,,1,0
78001-1-S,Default,simple,,base,PINK,,S,"Delicate, long adjusted dress.",1,"MILLIE DRESS PINK 78001-1 - S",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-1-M,Default,simple,,base,PINK,,M,"Delicate, long adjusted dress.",1,"MILLIE DRESS PINK 78001-1 - M",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-1-L,Default,simple,,base,PINK,,L,"Delicate, long adjusted dress.",1,"MILLIE DRESS PINK 78001-1 - L",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
78001-1,Default,configurable,,base,PINK,,,"Delicate, long adjusted dress.",1,"MILLIE DRESS PINK 78001-1",,189.00,,"Delicate, long adjusted dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,78001-1-S,size,S,77152673f52c70509be4452ba7b09863.jpg,77152673f52c70509be4452ba7b09863.jpg,77152673f52c70509be4452ba7b09863.jpg,88,77152673f52c70509be4452ba7b09863.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-1-M,size,M,c351f0428be3a672b4f97e43a2d94ad9.jpg,c351f0428be3a672b4f97e43a2d94ad9.jpg,c351f0428be3a672b4f97e43a2d94ad9.jpg,c351f0428be3a672b4f97e43a2d94ad9.jpg,88,c351f0428be3a672b4f97e43a2d94ad9.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78001-1-L,size,L,,,,,,,,
76011-7-S,Default,simple,,base,"GOLD ",,S,"A long dress with straps and a slit on the leg.",1,"EMMA DRESS GOLD 76011-7 - S",,229.00,,"A long dress with straps and a slit on the leg.",1,0,,,,4,0,5,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
76011-7-M,Default,simple,,base,"GOLD ",,M,"A long dress with straps and a slit on the leg.",1,"EMMA DRESS GOLD 76011-7 - M",,229.00,,"A long dress with straps and a slit on the leg.",1,0,,,,4,0,3,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
76011-7-L,Default,simple,,base,"GOLD ",,L,"A long dress with straps and a slit on the leg.",1,"EMMA DRESS GOLD 76011-7 - L",,229.00,,"A long dress with straps and a slit on the leg.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
76011-7,Default,configurable,,base,"GOLD ",,,"A long dress with straps and a slit on the leg.",1,"EMMA DRESS GOLD 76011-7",,229.00,,"A long dress with straps and a slit on the leg.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,76011-7-S,size,S,d716c877f1c0027ae26abace70aafb42.jpg,d716c877f1c0027ae26abace70aafb42.jpg,d716c877f1c0027ae26abace70aafb42.jpg,88,d716c877f1c0027ae26abace70aafb42.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76011-7-M,size,M,6b87708cf6e36c4dedd664139500b918.jpg,6b87708cf6e36c4dedd664139500b918.jpg,6b87708cf6e36c4dedd664139500b918.jpg,6b87708cf6e36c4dedd664139500b918.jpg,88,6b87708cf6e36c4dedd664139500b918.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76011-7-L,size,L,f3d75c4aa26230c1e0769dbb8c589b4c.jpg,f3d75c4aa26230c1e0769dbb8c589b4c.jpg,f3d75c4aa26230c1e0769dbb8c589b4c.jpg,f3d75c4aa26230c1e0769dbb8c589b4c.jpg,88,f3d75c4aa26230c1e0769dbb8c589b4c.jpg,,1,0
77005-3-S,Default,simple,,base,BLACK,,S,"Delicate, long suede dress.",1,"LAURE DRESS BLACK 77005-3 - S",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-3-M,Default,simple,,base,BLACK,,M,"Delicate, long suede dress.",1,"LAURE DRESS BLACK 77005-3 - M",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-3-L,Default,simple,,base,BLACK,,L,"Delicate, long suede dress.",1,"LAURE DRESS BLACK 77005-3 - L",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-3,Default,configurable,,base,BLACK,,,"Delicate, long suede dress.",1,"LAURE DRESS BLACK 77005-3",,189.00,,"Delicate, long suede dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,77005-3-S,size,S,1f127fedb97bcb431776c0b2bd6670c4.jpg,1f127fedb97bcb431776c0b2bd6670c4.jpg,1f127fedb97bcb431776c0b2bd6670c4.jpg,88,1f127fedb97bcb431776c0b2bd6670c4.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-3-M,size,M,560af98ba33f9fbc1d9fea5e7e99c4f7.jpg,560af98ba33f9fbc1d9fea5e7e99c4f7.jpg,560af98ba33f9fbc1d9fea5e7e99c4f7.jpg,560af98ba33f9fbc1d9fea5e7e99c4f7.jpg,88,560af98ba33f9fbc1d9fea5e7e99c4f7.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-3-L,size,L,0760bf59a8c7154123205e444d1cbb44.jpg,0760bf59a8c7154123205e444d1cbb44.jpg,0760bf59a8c7154123205e444d1cbb44.jpg,0760bf59a8c7154123205e444d1cbb44.jpg,88,0760bf59a8c7154123205e444d1cbb44.jpg,,1,0
77005-2-S,Default,simple,,base,AUBERGINE,,S,"Delicate, long suede dress.",1,"LAURE DRESS AUBERGINE 77005-2 - S",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-2-M,Default,simple,,base,AUBERGINE,,M,"Delicate, long suede dress.",1,"LAURE DRESS AUBERGINE 77005-2 - M",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-2-L,Default,simple,,base,AUBERGINE,,L,"Delicate, long suede dress.",1,"LAURE DRESS AUBERGINE 77005-2 - L",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-2,Default,configurable,,base,AUBERGINE,,,"Delicate, long suede dress.",1,"LAURE DRESS AUBERGINE 77005-2",,189.00,,"Delicate, long suede dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,77005-2-S,size,S,0d7404bea6e053ed17a12542baa58146.jpg,0d7404bea6e053ed17a12542baa58146.jpg,0d7404bea6e053ed17a12542baa58146.jpg,88,0d7404bea6e053ed17a12542baa58146.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-2-M,size,M,193bee4207d979a853518e2df197e5fe.jpg,193bee4207d979a853518e2df197e5fe.jpg,193bee4207d979a853518e2df197e5fe.jpg,193bee4207d979a853518e2df197e5fe.jpg,88,193bee4207d979a853518e2df197e5fe.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-2-L,size,L,b44c8625b463f5c2e99b5c45a34ea024.jpg,b44c8625b463f5c2e99b5c45a34ea024.jpg,b44c8625b463f5c2e99b5c45a34ea024.jpg,b44c8625b463f5c2e99b5c45a34ea024.jpg,88,b44c8625b463f5c2e99b5c45a34ea024.jpg,,1,0
77005-1-S,Default,simple,,base,"NAVY BLUE",,S,"Delicate, long suede dress.",1,"LAURE DRESS NAVY BLUE 77005-1 - S",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-1-M,Default,simple,,base,"NAVY BLUE",,M,"Delicate, long suede dress.",1,"LAURE DRESS NAVY BLUE 77005-1 - M",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-1-L,Default,simple,,base,"NAVY BLUE",,L,"Delicate, long suede dress.",1,"LAURE DRESS NAVY BLUE 77005-1 - L",,189.00,,"Delicate, long suede dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77005-1,Default,configurable,,base,"NAVY BLUE",,,"Delicate, long suede dress.",1,"LAURE DRESS NAVY BLUE 77005-1",,189.00,,"Delicate, long suede dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,77005-1-S,size,S,9228400b07246717df684e52fe639a0a.jpg,9228400b07246717df684e52fe639a0a.jpg,9228400b07246717df684e52fe639a0a.jpg,88,9228400b07246717df684e52fe639a0a.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-1-M,size,M,a0354396e8fe4d3a74a2ac3f17c34348.jpg,a0354396e8fe4d3a74a2ac3f17c34348.jpg,a0354396e8fe4d3a74a2ac3f17c34348.jpg,a0354396e8fe4d3a74a2ac3f17c34348.jpg,88,a0354396e8fe4d3a74a2ac3f17c34348.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77005-1-L,size,L,8fcd5afa3968b4b4314779679fc2e66e.jpg,8fcd5afa3968b4b4314779679fc2e66e.jpg,8fcd5afa3968b4b4314779679fc2e66e.jpg,8fcd5afa3968b4b4314779679fc2e66e.jpg,88,8fcd5afa3968b4b4314779679fc2e66e.jpg,,1,0
77004-2-S,Default,simple,,base,CHERRY,,S,"Delicate, long adjusted dress.",1,"SONYA DRESS CHERRY 77004-2 - S",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-2-M,Default,simple,,base,CHERRY,,M,"Delicate, long adjusted dress.",1,"SONYA DRESS CHERRY 77004-2 - M",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-2-L,Default,simple,,base,CHERRY,,L,"Delicate, long adjusted dress.",1,"SONYA DRESS CHERRY 77004-2 - L",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-2,Default,configurable,,base,CHERRY,,,"Delicate, long adjusted dress.",1,"SONYA DRESS CHERRY 77004-2",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,77004-2-S,size,S,65093a73b352145f1ef6f2113c415f68.jpg,65093a73b352145f1ef6f2113c415f68.jpg,65093a73b352145f1ef6f2113c415f68.jpg,88,65093a73b352145f1ef6f2113c415f68.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77004-2-M,size,M,5f6c74cdd7cff4b4a8ae2e86ef19a915.jpg,5f6c74cdd7cff4b4a8ae2e86ef19a915.jpg,5f6c74cdd7cff4b4a8ae2e86ef19a915.jpg,5f6c74cdd7cff4b4a8ae2e86ef19a915.jpg,88,5f6c74cdd7cff4b4a8ae2e86ef19a915.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77004-2-L,size,L,8f14ad083e268482c7f053caafdab801.jpg,8f14ad083e268482c7f053caafdab801.jpg,8f14ad083e268482c7f053caafdab801.jpg,8f14ad083e268482c7f053caafdab801.jpg,88,8f14ad083e268482c7f053caafdab801.jpg,,1,0
77004-1-S,Default,simple,,base,PINK,,S,"Delicate, long adjusted dress.",1,"SONYA DRESS PINK 77004-1 - S",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-1-M,Default,simple,,base,PINK,,M,"Delicate, long adjusted dress.",1,"SONYA DRESS PINK 77004-1 - M",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-1-L,Default,simple,,base,PINK,,L,"Delicate, long adjusted dress.",1,"SONYA DRESS PINK 77004-1 - L",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77004-1,Default,configurable,,base,PINK,,,"Delicate, long adjusted dress.",1,"SONYA DRESS PINK 77004-1",,239.00,,"Delicate, long adjusted dress.",1,0,,,,4,,,1,1,1,1,1,0,1,1,1,1,77004-1-S,size,S,5506354b3d3c9d0ed31036d711d3de6a.jpg,5506354b3d3c9d0ed31036d711d3de6a.jpg,5506354b3d3c9d0ed31036d711d3de6a.jpg,88,5506354b3d3c9d0ed31036d711d3de6a.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77004-1-M,size,M,62c75f7b808d7c58302c6993560b6763.jpg,62c75f7b808d7c58302c6993560b6763.jpg,62c75f7b808d7c58302c6993560b6763.jpg,62c75f7b808d7c58302c6993560b6763.jpg,88,62c75f7b808d7c58302c6993560b6763.jpg,,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77004-1-L,size,L,3a6c32dc13f3e6838c8550e1215f1386.jpg,3a6c32dc13f3e6838c8550e1215f1386.jpg,3a6c32dc13f3e6838c8550e1215f1386.jpg,3a6c32dc13f3e6838c8550e1215f1386.jpg,88,3a6c32dc13f3e6838c8550e1215f1386.jpg,,1,0
77003-3-S,Default,simple,,base,PINK,,S,"Delicate, long pleated dress.",1,"ANNABEL DRESS PINK 77003-3 - S",,219.00,,"Delicate, long pleated dress.",1,0,,,,4,0,1,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77003-3-M,Default,simple,,base,PINK,,M,"Delicate, long pleated dress.",1,"ANNABEL DRESS PINK 77003-3 - M",,219.00,,"Delicate, long pleated dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
77003-3-L,Default,simple,,base,PINK,,L,"Delicate, long pleated dress.",1,"ANNABEL DRESS PINK 77003-3 - L",,219.00,,"Delicate, long pleated dress.",1,0,,,,4,0,2,1,1,1,1,1,0,1,1,1,1,,,,,,,,,,,
